2026-05-12 16:20:43 [INFO    ] mexc_client          Testing MEXC connection...
2026-05-12 16:20:44 [INFO    ] mexc_client          ✓ Public API OK | BTC price: 80493.2
2026-05-12 16:20:44 [ERROR   ] mexc_client          GET /api/v1/private/account/assets failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/account/assets
2026-05-12 16:20:44 [INFO    ] mexc_client          ✓ Private API OK | Got account data
2026-05-12 16:20:44 [INFO    ] main                 Loading 1-minute historical data...
2026-05-12 16:20:44 [INFO    ] data_fetcher         Loading history for BTC_USDT...
2026-05-12 16:20:45 [INFO    ] data_fetcher           [OK] BTC_USDT: 300 candles loaded
2026-05-12 16:20:45 [INFO    ] data_fetcher         Loading history for ETH_USDT...
2026-05-12 16:20:45 [INFO    ] data_fetcher           [OK] ETH_USDT: 300 candles loaded
2026-05-12 16:20:45 [INFO    ] data_fetcher         Loading history for XAUT_USDT...
2026-05-12 16:20:46 [INFO    ] data_fetcher           [OK] XAUT_USDT: 300 candles loaded
2026-05-12 16:20:46 [INFO    ] data_fetcher         Loading history for SILVER_USDT...
2026-05-12 16:20:46 [INFO    ] data_fetcher           [OK] SILVER_USDT: 300 candles loaded
2026-05-12 16:20:46 [INFO    ] data_fetcher         Loading history for USOIL_USDT...
2026-05-12 16:20:46 [INFO    ] data_fetcher           [OK] USOIL_USDT: 301 candles loaded
2026-05-12 16:20:46 [INFO    ] data_fetcher         Database initialized: data/trades_htf.db
2026-05-12 16:20:46 [INFO    ] main                 Loading 5-minute higher-timeframe data...
2026-05-12 16:20:46 [INFO    ] data_fetcher         Loading history for BTC_USDT...
2026-05-12 16:20:47 [INFO    ] data_fetcher           [OK] BTC_USDT: 100 candles loaded
2026-05-12 16:20:47 [INFO    ] data_fetcher         Loading history for ETH_USDT...
2026-05-12 16:20:47 [INFO    ] data_fetcher           [OK] ETH_USDT: 100 candles loaded
2026-05-12 16:20:47 [INFO    ] data_fetcher         Loading history for XAUT_USDT...
2026-05-12 16:20:47 [INFO    ] data_fetcher           [OK] XAUT_USDT: 100 candles loaded
2026-05-12 16:20:47 [INFO    ] data_fetcher         Loading history for SILVER_USDT...
2026-05-12 16:20:48 [INFO    ] data_fetcher           [OK] SILVER_USDT: 100 candles loaded
2026-05-12 16:20:48 [INFO    ] data_fetcher         Loading history for USOIL_USDT...
2026-05-12 16:20:48 [INFO    ] data_fetcher           [OK] USOIL_USDT: 101 candles loaded
2026-05-12 16:20:49 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:49 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:49 [INFO    ] main                   Leverage set: BTC_USDT x 10
